file	extension	original_path	relative_path	bytes	sha256	magic_hex	wad_hash	resolved_game_path	purpose	relevance	referenced_by
Aventurine-3.1.5.zip	.zip	C:\Users\etqdo\Downloads\Clash Braum project\Aventurine-3.1.5.zip	Aventurine-3.1.5.zip	465077	acc51c88446767d2481314781451ee5b3a6a759125fab6be6d30a90a22ad320d	504b03040a0000000000f269f85c0000			Addon distribution	source/tool/reference	
Braum.en_US.wad.client	.client	C:\Users\etqdo\Downloads\Clash Braum project\Braum.en_US.wad.client	Braum.en_US.wad.client	5237821	7adaa269c1a5632b53ef9013c2813dac4f71719c744787e93de1033db22f1700	525703049b5d46e1cf6c5aa2b1c5d017			WAD archive	source/tool/reference	
CHR_Clash.rar	.rar	C:\Users\etqdo\Downloads\Clash Braum project\CHR_Clash.rar	CHR_Clash.rar	47873174	1c9deb13f3150a4576fd7e9aa68cddc577da2a13050612dd6a4c851ea11d730b	526172211a0701001d3b63fa0d010509			Clash source archive	source/tool/reference	
clash new.avif	.avif	C:\Users\etqdo\Downloads\Clash Braum project\clash new.avif	clash new.avif	45272	9141663ef6983162081086afe12c908f0233cca3ec1cbd4ce0d782b3e338e3be	0000001c667479706176696600000000			Visual reference	source/tool/reference	
clash old.jpg	.jpg	C:\Users\etqdo\Downloads\Clash Braum project\clash old.jpg	clash old.jpg	1107281	0341061da25c853014884c7a4bca2612f2513a0fcb5d202b0966a96cb7c30cb3	89504e470d0a1a0a0000000d49484452			Visual reference	source/tool/reference	
Rework_Clash_Shield.blend	.blend	C:\Users\etqdo\Downloads\Clash Braum project\Rework_Clash_Shield.blend	Rework_Clash_Shield.blend	5335807	c4d336358b3c884a2616d6234bb0cf85fa9684441d50e7c34e5814c73b962a07	28b52ffd60f4896dd500dafeb83550c0			Blender source scene	source/tool/reference	
009c4eea213a366a.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\009c4eea213a366a.tex	Braum.wad/009c4eea213a366a.tex	87420	6e82405ef059f83bece4d482fae15d254928913443cfcf470357b6e9be8e7205	5445580000010001010c00013b3b0000	009c4eea213a366a	assets/characters/braum/skins/skin10/particles/braum_base_r_frozen_ground.tex	League texture	other skin/shared; see reference graph	2dc39c165f3aa923.bin
00ca1c1a16d5c50d.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\00ca1c1a16d5c50d.tex	Braum.wad/00ca1c1a16d5c50d.tex	87420	0976c09543b07b12fedbaad697c1bb82885289b48c16ba6428d5fa0ad9e54b1d	5445580000010001010c000135350000	00ca1c1a16d5c50d	assets/characters/braum/skins/skin51/particles/braum_skin51_ball32_02.tex	League texture	other skin/shared; see reference graph	7a1193b055eb059a.bin
00f993b02d0737e3.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\00f993b02d0737e3.tex	Braum.wad/00f993b02d0737e3.tex	87452	436d72abb105b5773d12df10a09482183ebab7ee16431ec0ebe04d102b9e4aae	5445580000028000010c00011e1e0000	00f993b02d0737e3	assets/characters/braum/skins/skin11/particles/braum_skin11_r_hit_orbit_tar.tex	League texture	other skin/shared; see reference graph	2974de4048ee048b.bin
010ee92ce76f9e91.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\010ee92ce76f9e91.tex	Braum.wad/010ee92ce76f9e91.tex	21884	a04c45b1972161acd4d3003266daa2e0f8cca18515f98a8933246c4ecd971cbb	5445580080008000010c00014c4c0000	010ee92ce76f9e91	assets/characters/braum/skins/base/particles/braum_base_p_stun_ground_mult.tex	League texture	base or shared candidate	2dc39c165f3aa923.bin
